Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__GW2011-AR5
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__JACPZZ01
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__PWEA01
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZS01
Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__Altiarchaeales
Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__IMC4
Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__JAFGQM01
Root; d__Archaea; p__Asgardarchaeota; c__Baldrarchaeia; o__Baldrarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Hodarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__JABLTI01
Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__UBA460
Root; d__Archaea; p__Asgardarchaeota; c__Hermodarchaeia; o__Hermodarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__JAGGXT01; o__JAGGXT01
Root; d__Archaea; p__Asgardarchaeota; c__Jordarchaeia; o__Jordarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__LC30; o__LC30
Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__CR-4
Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Helarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Odinarchaeia; o__Odinarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Sifarchaeia; o__Borrarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Sifarchaeia; o__Sifarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Thorarchaeia; o__Thorarchaeales
Root; d__Archaea; p__Asgardarchaeota; c__Wukongarchaeia; o__Wukongarchaeales
Root; d__Archaea; p__B1Sed10-29; c__B1Sed10-29; o__B1Sed10-29
Root; d__Archaea; p__B1Sed10-29; c__B1Sed10-29; o__WALL01
Root; d__Archaea; p__EX4484-52; c__EX4484-52; o__EX4484-52
Root; d__Archaea; p__Hadarchaeota; c__B88-G9; o__B88-G9
Root; d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeales
Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales
Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__JdFR-21
Root; d__Archaea; p__Halobacteriota; c__Bog-38; o__Bog-38
Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__JAHENH01
Root; d__Archaea; p__Halobacteriota; c__Methanocellia; o__Methanocellales
Root; d__Archaea; p__Halobacteriota; c__Methanoliparia; o__Methanoliparales
Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
Root; d__Archaea; p__Halobacteriota; c__Methanonatronarchaeia; o__JAANXF01
Root; d__Archaea; p__Halobacteriota; c__Methanonatronarchaeia; o__Methanonatronarchaeales
Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales
Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanotrichales
Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia_A; o__Methanosarcinales_A
Root; d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__ANME-1
Root; d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__JACQPP01
Root; d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales
Root; d__Archaea; p__Halobacteriota; c__UBA148; o__UBA148
Root; d__Archaea; p__Huberarchaeota; c__Huberarchaeia; o__Huberarchaeales
Root; d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia; o__Hydrothermarchaeales
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__0-14-0-20-30-16
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__CSSED10-239
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__JAADDC01
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__JAFGOX01
Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__JAGGVJ01
Root; d__Archaea; p__JAADDD01; c__JAADDD01; o__JAADDD01
Root; d__Archaea; p__JACRDV01; c__JACRDV01; o__JACRDV01
Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
Root; d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales
Root; d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales
Root; d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Methanofastidiosales
Root; d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Thermococcales
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Burarchaeales
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__CABMEP01
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__CAILAH01
Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__DTNL01
